abbr,short,long,bookCode,language
യെഹെ.,യെഹെസ്കേൽ,യെഹെസ്കേൽ,ezk,mal
ദാനീ.,ദാനീയേൽ,ദാനീയേലിന്റെ പുസ്തകം,dan,mal
ഹോശേ.,ഹോശേയ,ഹോശേയ,hos,mal
യോവേ.,യോവേൽ,യോവേൽ,jol,mal
ആമോ.,ആമോസ്,ആമോസ്,amo,mal
ഓബ.,ഓബദ്യാവു,ഓബദ്യാവു,oba,mal
യോനാ,യോനാ,യോനാ,jon,mal
മീഖാ,മീഖാ,മീഖാ,mic,mal
നഹൂം,നഹൂം,നഹൂം,nam,mal
ഹബ.,ഹബക്കൂൿ,ഹബക്കൂൿ,hab,mal
സെഫ.,സെഫന്യാവു,സെഫന്യാവു,zep,mal
ഹഗ്ഗാ.,ഹഗ്ഗായി,ഹഗ്ഗായി,hag,mal
സെഖ.,സെഖര്യാവു,സെഖര്യാവു,zec,mal
മലാ.,മലാഖി,മലാഖി,mal,mal
മത്താ.,മത്തായി,മത്തായി എഴുതിയ സുവിശേഷം,mat,mal
മർക്കൊ.,മർക്കൊസ്,മർക്കൊസ് എഴുതിയ സുവിശേഷം,mrk,mal
ലൂക്കൊ.,ലൂക്കൊസ്,ലൂക്കൊസ് എഴുതിയ സുവിശേഷം,luk,mal
യോഹ.,യോഹന്നാൻ,യോഹന്നാൻ എഴുതിയ സുവിശേഷം,jhn,mal
പ്രവൃത്തികൾ.,പ്രവൃത്തികൾ.,അപ്പൊസ്തലന്മാരുടെ പ്രവൃത്തികൾ,act,mal
റോമർ,റോമർ,അപ്പൊസ്തലനായ പൗലൊസ് റോമർക്ക് എഴുതിയ ലേഖനം,rom,mal
1 കൊരി.,1 കൊരിന്ത്യർ,അപ്പൊസ്തലനായ പൗലൊസ് കൊരിന്ത്യർക്ക് എഴുതിയ ഒന്നാം ലേഖനം,1co,mal
2 കൊരി.,2 കൊരിന്ത്യർ,അപ്പൊസ്തലനായ പൗലൊസ് കൊരിന്ത്യർക്ക് എഴുതിയ രണ്ടാം ലേഖനം,2co,mal
ഗലാ.,ഗലാത്യർ,അപ്പൊസ്തലനായ പൗലൊസ് ഗലാത്യർക്ക് എഴുതിയ ലേഖനം,gal,mal
എഫെ.,എഫെസ്യർ,അപ്പൊസ്തലനായ പൗലൊസ് എഫെസ്യർക്ക് എഴുതിയ ലേഖനം,eph,mal
ഫിലി.,ഫിലിപ്പിയർ,അപ്പൊസ്തലനായ പൗലൊസ് ഫിലിപ്പിയർക്ക് എഴുതിയ ലേഖനം,php,mal
കൊലൊ.,കൊലൊസ്സ്യർ,അപ്പൊസ്തലനായ പൗലൊസ് കൊലൊസ്സ്യർക്ക് എഴുതിയ ലേഖനം,col,mal
1 തെസ്സ.,1 തെസ്സലൊനീക്യർ,അപ്പൊസ്തലനായ പൗലൊസ് തെസ്സലൊനീക്യർക്ക് എഴുതിയ ഒന്നാം ലേഖനം,1th,mal
इफि.,इफिसकरांस,इफिसकरांस पत्र,eph,mar
फिलि.,फिलिप्पैकरांस,फिलिप्पैकरांस पत्र,php,mar
2 തെസ്സ.,2 തെസ്സലൊനീക്യർ,അപ്പൊസ്തലനായ പൗലൊസ് തെസ്സലൊനീക്യർക്ക് എഴുതിയ രണ്ടാം ലേഖനം,2th,mal
1 തിമൊ.,1 തിമൊഥെയൊസ്,അപ്പൊസ്തലനായ പൗലൊസ് തിമൊഥെയൊസിന് എഴുതിയ ഒന്നാം ലേഖനം,1ti,mal
2 തിമൊ.,2 തിമൊഥെയൊസ്,അപ്പൊസ്തലനായ പൗലൊസ് തിമൊഥെയൊസിന് എഴുതിയ രണ്ടാം ലേഖനം,2ti,mal
തീത്തൊ.,തീത്തൊസ്,അപ്പൊസ്തലനായ പൗലൊസ് തീത്തൊസിന് എഴുതിയ ലേഖനം,tit,mal
ഫിലേ.,ഫിലേമോൻ,അപ്പൊസ്തലനായ പൗലൊസ് ഫിലേമോന് എഴുതിയ ലേഖനം,phm,mal
എബ്രാ.,എബ്രായർ,എബ്രായർക്ക് എഴുതിയ ലേഖനം,heb,mal
യാക്കോ.,യാക്കോബ്,യാക്കോബ് എഴുതിയ ലേഖനം,jas,mal
1 പത്രൊ.,1 പത്രൊസ്,പത്രൊസ് എഴുതിയ ഒന്നാം ലേഖനം,1pe,mal
2 പത്രൊ.,2 പത്രൊസ്,പത്രൊസ് എഴുതിയ രണ്ടാം ലേഖനം,2pe,mal
1 യോഹ.,1 യോഹന്നാൻ,യോഹന്നാൻ എഴുതിയ ഒന്നാം ലേഖനം,1jn,mal
2 യോഹ.,2 യോഹന്നാൻ,യോഹന്നാൻ എഴുതിയ രണ്ടാം ലേഖനം,2jn,mal
3 യോഹ.,3 യോഹന്നാൻ,യോഹന്നാൻ എഴുതിയ മൂന്നാം ലേഖനം,3jn,mal
യൂദാ,യൂദാ,യൂദാ എഴുതിയ ലേഖനം,jud,mal
വെളി.,വെളിപ്പാട്,യോഹന്നാന് ഉണ്ടായ വെളിപ്പാട്,rev,mal
उत्प.,उत्पत्ति,उत्पत्ति,gen,mar
निर्ग.,निर्गम,निर्गम,exo,mar
लेवी.,लेवीय,लेवीय,lev,mar
गण.,गणना,गणना,num,mar
अनु.,अनुवाद,अनुवाद,deu,mar
यहो.,यहोशवा,यहोशवा,jos,mar
शास्ते,शास्ते,शास्ते,jdg,mar
रूथ,रूथ,रूथ,rut,mar
1 शमु.,1 शमुवेल,1 शमुवेल,1sa,mar
2 शमु.,2 शमुवेल,2 शमुवेल,2sa,mar
1 राजे,1 राजे,1 राजे,1ki,mar
2 राजे,2 राजे,2 राजे,2ki,mar
1 इति.,1 इतिहास,1 इतिहास,1ch,mar
2 इति.,2 इतिहास,2 इतिहास,2ch,mar
एज्रा,एज्रा,एज्रा,ezr,mar
नहे.,नहेम्या,नहेम्या,neh,mar
एस्ते.,एस्तेर,एस्तेर,est,mar
ईयो.,ईयोब,ईयोब,job,mar
स्तोत्र.,स्तोत्रसंहिता,स्तोत्रसंहिता,psa,mar
नीति.,नीतिसूत्रे,नीतिसूत्रे,pro,mar
उप.,उपदेशक,उपदेशक,ecc,mar
गीत.,गीतरत्न,गीतरत्न,sng,mar
यश.,यशया,यशया,isa,mar
यिर्म.,यिर्मया,यिर्मया,jer,mar
विला.,विलापगीत,विलापगीत,lam,mar
यहे.,यहेज्केल,यहेज्केल,ezk,mar
दानि.,दानिएल,दानिएल,dan,mar
होशे.,होशेय,होशेय,hos,mar
योए.,योएल,योएल,jol,mar
आमो.,आमोस,आमोस,amo,mar
ओब.,ओबद्या,ओबद्या,oba,mar
योना,योना,योना,jon,mar
मीखा,मीखा,मीखा,mic,mar
नहू.,नहूम,नहूम,nam,mar
हब.,हबक्कूक,हबक्कूक,hab,mar
सफ.,सफन्या,सफन्या,zep,mar
हाग्ग.,हाग्गय,हाग्गय,hag,mar
जख.,जखऱ्या,जखऱ्या,zec,mar
मला.,मलाखी,मलाखी,mal,mar
मत्त.,मत्तय,मत्तयकृत शुभवर्तमान,mat,mar
मार्क,मार्क,मार्ककृत शुभवर्तमान,mrk,mar
लूक,लूक,लूककृत शुभवर्तमान,luk,mar
योहा.,योहान,योहानकृत शुभवर्तमान,jhn,mar
प्रेषि.,प्रेषितांचीं कृत्यें,प्रेषितांची कृत्ये,act,mar
रोम.,रोमकरांस,रोमकरांस पत्र,rom,mar
1 करिं.,1 करिंथकरांस,करिंथकरांस पहिले पत्र,1co,mar
2 करिं.,2 करिंथकरांस,करिंथकरांस दुसरे पत्र,2co,mar
गल.,गलतीकरांस,गलतीकरांस पत्र,gal,mar
कल.,कलस्सैकरांस,कलस्सैकरांस पत्र,col,mar
1 थेस्स.,1 थेस्सलनीकाकरांस,थेस्सलनीकाकरांस पहिले पत्र,1th,mar
2 थेस्स.,2 थेस्सलनीकाकरांस,थेस्सलनीकाकरांस दुसरे पत्र,2th,mar
1 तीम.,1 तीमथ्याला,तीमथ्याला पहिले पत्र,1ti,mar
2 तीम.,2 तीमथ्याला,तीमथ्याला दुसरे पत्र,2ti,mar
तीत.,तीताला,तीताला पत्र,tit,mar
फिले.,फिलेमोना,फिलेमानाला पत्र,phm,mar
इब्री.,इब्री लोकांस,इब्री लोकांस पत्र,heb,mar
याको.,याकोब,याकोबाचे पत्र,jas,mar
1 पेत्र.,1 पेत्र,पेत्राचे पहिले पत्र,1pe,mar
2 पेत्र.,2 पेत्र,पेत्राचे दुसरे पत्र,2pe,mar
1 योहा.,1 योहान,योहानाचे पहिले पत्र,1jn,mar
2 योहा.,2 योहान,योहानाचे दुसरे पत्र,2jn,mar
3 योहा.,3 योहान,योहानाचे तिसरे पत्र,3jn,mar
यहू.,यहूदा,यहूदाचे पत्र,jud,mar
प्रक.,प्रकटीकरण,प्रकटीकरण,rev,mar
ଆଦି.,ଆଦି ପୁସ୍ତକ,ଆଦି ପୁସ୍ତକ,gen,ory
ଯାତ୍ରା.,ଯାତ୍ରା ପୁସ୍ତକ,ଯାତ୍ରା ପୁସ୍ତକ,exo,ory
ଲେବୀ.,ଲେବୀୟ ପୁସ୍ତକ,ଲେବୀୟ ପୁସ୍ତକ,lev,ory
ଗଣ.,ଗଣନା ପୁସ୍ତକ,ଗଣନା ପୁସ୍ତକ,num,ory
ଦ୍ବି.ବି.,ଦ୍ୱିତୀୟ ବିବରଣ,ଦ୍ୱିତୀୟ ବିବରଣ,deu,ory
ଯିହୋ.,ଯିହୋଶୂୟ,ଯିହୋଶୂୟ ପୁସ୍ତକ,jos,ory
ବିଚାର.,ବିଚାରକର୍ତ୍ତା ପୁସ୍ତକ,ବିଚାରକର୍ତ୍ତାମାନଙ୍କ ବିବରଣ,jdg,ory
ରୂତ.,ରୂତର ପୁସ୍ତକ,ରୂତର ବିବରଣ,rut,ory
ପ୍ର.ଶା.,1 ଶାମୁୟେଲ,ପ୍ରଥମ ଶାମୁୟେଲ,1sa,ory
ଦ୍ବି.ଶା.,2 ଶାମୁୟେଲ,ଦ୍ୱିତୀୟ ଶାମୁୟେଲ,2sa,ory
ପ୍ର.ରା.,1 ରାଜାବଳୀ,ପ୍ରଥମ ରାଜାବଳୀ,1ki,ory
ଦ୍ବି.ରା.,2 ରାଜାବଳୀ,ଦ୍ୱିତୀୟ ରାଜାବଳୀ,2ki,ory
ପ୍ର.ବଂ.,1 ବଂଶାବଳୀ,ପ୍ରଥମ ବଂଶାବଳୀ,1ch,ory
ଦ୍ବି.ବଂ.,2 ବଂଶାବଳୀ,ଦ୍ବିତୀୟ ବଂଶାବଳୀ,2ch,ory
ଏଜ୍ରା.,ଏଜ୍ରା,ଏଜ୍ରା ପୁସ୍ତକ,ezr,ory
ନିହି.,ନିହିମୀୟା,ନିହିମୀୟାଙ୍କ ପୁସ୍ତକ,neh,ory
ଏଷ୍ଟ.,ଏଷ୍ଟର,ଏଷ୍ଟର ବିବରଣ,est,ory
ଆୟୁବ.,ଆୟୁବ,ଆୟୁବ ପୁସ୍ତକ,job,ory
ଗୀତ.,ଗୀତସଂହିତା,ଗୀତସଂହିତା,psa,ory
ହିତୋ.,ହିତୋପଦେଶ,ହିତୋପଦେଶ,pro,ory
ଉପ.,ଉପଦେଶକ,ଉପଦେଶକ,ecc,ory
ପ.ଗୀ.,ପରମ ଗୀତ,ପରମ ଗୀତ,sng,ory
ଯିଶା.,ଯିଶାଇୟ,ଯିଶାଇୟ ଭବିଷ୍ୟଦ୍‍ବକ୍ତାଙ୍କ ପୁସ୍ତକ,isa,ory
ଯିରି.,ଯିରିମୀୟ,ଯିରିମୀୟ ଭବିଷ୍ୟଦ୍‍ବକ୍ତାଙ୍କ ପୁସ୍ତକ,jer,ory
ବିଳା.,ବିଳାପ,ଯିରିମୀୟଙ୍କ ବିଳାପ,lam,ory
ଯିହି.,ଯିହିଜିକଲ,ଯିହିଜିକଲ ଭବିଷ୍ୟଦ୍‍ବକ୍ତାଙ୍କ ପୁସ୍ତକ,ezk,ory
ଦାନି.,ଦାନିୟେଲ,ଦାନିୟେଲଙ୍କ ପୁସ୍ତକ,dan,ory
ହୋଶେ.,ହୋଶେୟ,ହୋଶେୟ ଭବିଷ୍ୟଦ୍‍ବକ୍ତାଙ୍କ ପୁସ୍ତକ,hos,ory
ଯୋୟେ.,ଯୋୟେଲ,ଯୋୟେଲ ଭବିଷ୍ୟଦ୍‍ବକ୍ତାଙ୍କ ପୁସ୍ତକ,jol,ory
ଆମୋ.,ଆମୋଷ,ଆମୋଷ ଭବିଷ୍ୟଦ୍‍ବକ୍ତାଙ୍କ ପୁସ୍ତକ,amo,ory
ଓବ.,ଓବଦୀୟ,ଓବଦୀୟ ଭବିଷ୍ୟଦ୍‍ବକ୍ତାଙ୍କ ପୁସ୍ତକ,oba,ory
ଯୂନ.,ଯୂନସ,ଯୂନସ ଭବିଷ୍ୟଦ୍‍ବକ୍ତାଙ୍କ ପୁସ୍ତକ,jon,ory
ମୀଖା.,ମୀଖା,ମୀଖା ଭବିଷ୍ୟଦ୍‍ବକ୍ତାଙ୍କ ପୁସ୍ତକ,mic,ory
ନାହୂ.,ନାହୂମ,ନାହୂମ ଭବିଷ୍ୟଦ୍‍ବକ୍ତାଙ୍କ ପୁସ୍ତକ,nam,ory
ହବ.,ହବକ୍‍କୂକ,ହବକ୍‍କୂକ ଭବିଷ୍ୟଦ୍‍ବକ୍ତାଙ୍କ ପୁସ୍ତକ,hab,ory
ସିଫ.,ସିଫନୀୟ,ସିଫନୀୟ ଭବିଷ୍ୟଦ୍‍ବକ୍ତାଙ୍କ ପୁସ୍ତକ,zep,ory
ହାଗ.,ହାଗୟ,ହାଗୟ ଭବିଷ୍ୟଦ୍‍ବକ୍ତାଙ୍କ ପୁସ୍ତକ,hag,ory
ଯିଖ.,ଯିଖରୀୟ,ଯିଖରୀୟ ଭବିଷ୍ୟବକ୍ତାଙ୍କ ପୁସ୍ତକ,zec,ory
ମଲାଖି.,ମଲାଖି,ମଲାଖି ଭବିଷ୍ୟବକ୍ତାଙ୍କ ପୁସ୍ତକ,mal,ory
ମାଥି.,ମାଥିଉ,ମାଥିଉ ଲିଖିତ ସୁସମାଚାର,mat,ory
tit,Titus,Titus,tit,eng
ମାର୍କ,ମାର୍କ,ମାର୍କ ଲିଖିତ ସୁସମାଚାର,mrk,ory
ଲୂକ,ଲୂକ,ଲୂକ ଲିଖିତ ସୁସମାଚାର,luk,ory
ଯୋହ.,ଯୋହନ,ଯୋହନ ଲିଖିତ ସୁସମାଚାର,jhn,ory
ପ୍ରେରି.,ପ୍ରେରିତ,ପ୍ରେରିତମାନଙ୍କ କାର୍ଯ୍ୟର ବିବରଣ,act,ory
ରୋମୀ.,ରୋମୀୟ,ରୋମୀୟ ମଣ୍ଡଳୀ ନିକଟକୁ ପ୍ରେରିତ ପାଉଲଙ୍କ ପତ୍ର,rom,ory
ପ୍ର.କରି.,1 କରିନ୍ଥୀୟ,କରିନ୍ଥୀୟ ମଣ୍ଡଳୀ ନିକଟକୁ ପାଉଲଙ୍କ ପ୍ରଥମ ପତ୍ର,1co,ory
ଦ୍ୱି.କରି.,2 କରିନ୍ଥୀୟ,କରିନ୍ଥୀୟ ମଣ୍ଡଳୀ ନିକଟକୁ ପାଉଲଙ୍କ ଦ୍ୱିତୀୟ ପତ୍ର,2co,ory
ଗାଲା.,ଗାଲାତୀୟ,ଗାଲାତୀୟ ମଣ୍ଡଳୀ ନିକଟକୁ ପ୍ରେରିତ ପାଉଲଙ୍କ ପତ୍ର,gal,ory
ଏଫି.,ଏଫିସୀୟ,ଏଫିସୀୟ ମଣ୍ଡଳୀ ନିକଟକୁ ପ୍ରେରିତ ପାଉଲଙ୍କ ପତ୍ର,eph,ory
ଫିଲିପ୍‌ପୀ.,ଫିଲିପ୍‌ପୀୟ,ଫିଲିପ୍‌ପୀୟ  ମଣ୍ଡଳୀ ନିକଟକୁ ପ୍ରେରିତ ପାଉଲଙ୍କ ପତ୍ର,php,ory
କଲ.,କଲସୀୟ,କଲସୀୟ ମଣ୍ଡଳୀ ନିକଟକୁ ପ୍ରେରିତ ପାଉଲଙ୍କ ପତ୍ର,col,ory
ପ୍ର.ଥେସ.,1 ଥେସଲନୀକୀୟ,ଥେସଲନୀକୀୟ ମଣ୍ଡଳୀ ନିକଟକୁ ପ୍ରେରିତ ପାଉଲଙ୍କ ପ୍ରଥମ ପତ୍ର,1th,ory
ଦ୍ୱି.ଥେସ.,2 ଥେସଲନୀକୀୟ,ଥେସଲନୀକୀୟ ମଣ୍ଡଳୀ ନିକଟକୁ ପ୍ରେରିତ ପାଉଲଙ୍କ  ଦ୍ୱିତୀୟ ପତ୍ର,2th,ory
ପ୍ର.ତୀମ.,1 ତୀମଥି,ତୀମଥି ନିକଟକୁ ପ୍ରେରିତ ପାଉଲଙ୍କ ପ୍ରଥମ ପତ୍ର,1ti,ory
ଦ୍ୱି.ତୀମ.,2 ତୀମଥି,ତୀମଥି ନିକଟକୁ ପ୍ରେରିତ ପାଉଲଙ୍କ ଦ୍ୱିତୀୟ ପତ୍ର,2ti,ory
ତୀତ.,ତୀତସ,ତୀତସଙ୍କ ନିକଟକୁ ପ୍ରେରିତ ପାଉଲଙ୍କ ପତ୍ର,tit,ory
ଫିଲୀ.,ଫିଲୀମୋନ,ଫିଲୀମୋନଙ୍କ ନିକଟକୁ ପ୍ରେରିତ ପାଉଲଙ୍କ ପତ୍ର,phm,ory
ଏବ୍ରୀ,ଏବ୍ରୀ,ଏବ୍ରୀମାନଙ୍କ ନିକଟକୁ ପତ୍ର,heb,ory
ଯାକୁ.,ଯାକୁବ,ଯାକୁବଙ୍କ ପତ୍ର,jas,ory
ପ୍ର. ପିତ.,1 ପିତର,ପିତରଙ୍କ ପ୍ରଥମ ପତ୍ର,1pe,ory
ଦ୍ୱି. ପିତ.,2 ପିତର,ପିତରଙ୍କ ଦ୍ୱିତୀୟ ପତ୍ର,2pe,ory
पैदा,पैदाइश,पैदाइश,gen,urd
ପ୍ର. ଯୋହ.,1 ଯୋହନ,ଯୋହନଙ୍କ ପ୍ରଥମ ପତ୍ର,1jn,ory
ଦ୍ୱି. ଯୋହ.,2 ଯୋହନ,ଯୋହନଙ୍କ ଦ୍ୱିତୀୟ ପତ୍ର,2jn,ory
ତୃ. ଯୋହ,3 ଯୋହନ,ଯୋହନଙ୍କ ତୃତୀୟ ପତ୍ର,3jn,ory
ଯିହୂ.,ଯିହୂଦା,ଯିହୂଦାଙ୍କ ପତ୍ର,jud,ory
ପ୍ରକା.,ପ୍ରକାଶିତ,ଯୋହନଙ୍କ ପ୍ରତି ପ୍ରକାଶିତ ବାକ୍ୟ,rev,ory
ਉਤ,ਪੈਦਾਇਸ਼,ਉਤਪਤ,gen,pan
ਕੂਚ,ਖ਼ਰੋਜ,ਕੂਚ,exo,pan
ਲੇਵੀਆਂ,ਅਹਬਾਰ,ਲੇਵੀਆਂ ਦੀ ਪੋਥੀ,lev,pan
ਗਿਣਤੀ,ਗਿਣਤੀ,ਗਿਣਤੀ,num,pan
ਬਿਵਸਥਾ,ਅਸਤਸਨਾ,ਬਿਵਸਥਾ ਸਾਰ,deu,pan
ਯਹੋਸ਼ੁ,ਯਸ਼ਵਾ,ਯਹੋਸ਼ੁਆ,jos,pan
ਨਿਆਂਈ,ਕਜ਼ਾૃ,ਨਿਆਂਈਆਂ ਦੀ ਪੋਥੀ,jdg,pan
ਰੂਥ,ਰੁੱਤ,ਰੂਥ,rut,pan
1 ਸਮੂ,1 ਸਮੂਏਲ,1 ਸਮੂਏਲ,1sa,pan
2 ਸਮੂ,2 ਸਮੂਏਲ,2 ਸਮੂਏਲ,2sa,pan
1 ਰਾਜਾ,1 ਰਾਜਿਆਂ,1 ਰਾਜਿਆਂ,1ki,pan
2 ਰਾਜਾ,2 ਰਾਜਿਆਂ,2 ਰਾਜਿਆਂ,2ki,pan
1 ਇਤ,1 ਇਤਿਹਾਸ,1 ਇਤਿਹਾਸ,1ch,pan
2 ਇਤ,2 ਇਤਿਹਾਸ,2 ਇਤਿਹਾਸ,2ch,pan
ਅਜ਼ਰਾ,ਅਜ਼ਰਾ,ਅਜ਼ਰਾ,ezr,pan
ਨਹਮਯਾਹ,ਨਹਮਯਾਹ,ਨਹਮਯਾਹ,neh,pan
ਅਸਤਰ,ਅਸਤਰ,ਅਸਤਰ,est,pan
ਅੱਯੂਬ,ਅੱਯੂਬ,ਅੱਯੂਬ,job,pan
ਜ਼ਬੂਰ,ਜ਼ਬੂਰ,ਜ਼ਬੂਰ,psa,pan
ਕਹਾਉਤਾਂ,ਕਹਾਉਤਾਂ,ਕਹਾਉਤਾਂ,pro,pan
ਉਪਦੇਸ਼ਕ,ਉਪਦੇਸ਼ਕ,ਉਪਦੇਸ਼ਕ,ecc,pan
ਸੁਲੇਮਾਨ ਦਾ ਗੀਤ,ਸੁਲੇਮਾਨ ਦਾ ਗੀਤ,ਸੁਲੇਮਾਨ ਦਾ ਗੀਤ,sng,pan
ਯਸਾ,ਯਸਾਯਾਹ,ਯਸਾਯਾਹ,isa,pan
ਯਿਰਮਿਯਾਹ,ਯਿਰਮਿਯਾਹ,ਯਿਰਮਿਯਾਹ,jer,pan
ਵਿਰਲਾਪ,ਵਿਰਲਾਪ,ਯਿਰਮਿਯਾਹ ਦਾ ਵਿਰਲਾਪ,lam,pan
ਹਿਜ਼ਕੀਏਲ,ਹਿਜ਼ਕੀਏਲ,ਹਿਜ਼ਕੀਏਲ,ezk,pan
ਦਾਨੀਏਲ,ਦਾਨੀਏਲ,ਦਾਨੀਏਲ,dan,pan
ਹੋਸ਼ੇ,ਹੋਸ਼ੇਆ,ਹੋਸ਼ੇਆ,hos,pan
ਯੋਏਲ,ਯੋਏਲ,ਯੋਏਲ,jol,pan
ਆਮੋਸ,ਆਮੋਸ,ਆਮੋਸ,amo,pan
ਓਬਦਯਾਹ,ਓਬਦਯਾਹ,ਓਬਦਯਾਹ,oba,pan
ਯੂਨਾ,ਯੂਨਾਹ,ਯੂਨਾਹ,jon,pan
ਮੀਕਾ,ਮੀਕਾਹ,ਮੀਕਾਹ,mic,pan
ਨਹੂਮ,ਨਹੂਮ,ਨਹੂਮ,nam,pan
ਹਬੱਕੂਕ,ਹਬੱਕੂਕ,ਹਬੱਕੂਕ,hab,pan
ਸਫ਼ਨਯਾਹ,ਸਫ਼ਨਯਾਹ,ਸਫ਼ਨਯਾਹ,zep,pan
ਹੱਜਈ,ਹੱਜਈ,ਹੱਜਈ,hag,pan
ਜ਼ਕਰ,ਜ਼ਕਰਯਾਹ,ਜ਼ਕਰਯਾਹ,zec,pan
ਮਲਾਕੀ,ਮਲਾਕੀ,ਮਲਾਕੀ,mal,pan
ਮੱਤੀ,ਮੱਤੀ,ਮੱਤੀ ਦੀ ਇੰਜੀਲ,mat,pan
ਮਰਕੁਸ,ਮਰਕੁਸ,ਮਰਕੁਸ ਦੀ ਇੰਜੀਲ,mrk,pan
ਲੂਕਾ,ਲੂਕਾ,ਲੂਕਾ ਦੀ ਇੰਜੀਲ,luk,pan
ਯੂਹੰਨਾ,ਯੂਹੰਨਾ,ਯੂਹੰਨਾ ਦੀ ਇੰਜੀਲ,jhn,pan
ਰਸੂਲਾਂ ਦੇ ਕਰਤੱਬ,ਰਸੂਲਾਂ ਦੇ ਕਰਤੱਬ,ਰਸੂਲਾਂ ਦੇ ਕਰਤੱਬ,act,pan
ਰੋਮੀਆਂ,ਰੋਮੀਆਂ,ਰੋਮੀਆਂ ਨੂੰ,rom,pan
1 ਕੁਰਿੰਥੀ,1 ਕੁਰਿੰਥੀਆਂ,ਕੁਰਿੰਥੀਆਂ ਨੂੰ ਪਹਿਲੀ ਪੱਤ੍ਰੀ,1co,pan
2 ਕੁਰਿੰਥੀ,2 ਕੁਰਿੰਥੀਆਂ,ਕੁਰਿੰਥੀਆਂ ਨੂੰ ਦੂਜੀ ਪੱਤ੍ਰੀ,2co,pan
ਗਲਾਤਿਯਾ,ਗਲਾਤਿਯਾ,ਗਲਾਤਿਯਾ ਨੂੰ,gal,pan
ਅਫ਼ਸੀਆਂ,ਅਫ਼ਸੀਆਂ,ਅਫ਼ਸੀਆਂ ਨੂੰ,eph,pan
ਫਿਲਿੱਪੀਆਂ,ਫਿਲਿੱਪੀਆਂ,ਫਿਲਿੱਪੀਆਂ ਨੂੰ,php,pan
ਕੁਲੁੱਸੀਆਂ,ਕੁਲੁੱਸੀਆਂ,ਕੁਲੁੱਸੀਆਂ ਨੂੰ,col,pan
1 ਥੱਸਲੁ,1 ਥੱਸਲੁਨੀਕੀਆਂ,ਥੱਸਲੁਨੀਕੀਆ ਨੂੰ ਪਹਿਲੀ ਪੱਤ੍ਰੀ,1th,pan
2 ਥੱਸਲੁ,2 ਥੱਸਲੁਨੀਕੀਆਂ,ਥੱਸਲੁਨੀਕੀਆ ਨੂੰ ਦੂਜੀ ਪੱਤ੍ਰੀ,2th,pan
1 ਤਿਮੋਥਿ,1 ਤਿਮੋਥਿਉਸ,ਤਿਮੋਥਿਉਸ ਨੂੰ ਪਹਿਲੀ ਪੱਤ੍ਰੀ,1ti,pan
2 ਤਿਮੋਥਿ,2 ਤਿਮੋਥਿਉਸ,ਤਿਮੋਥਿਉਸ ਨੂੰ ਦੂਜੀ ਪੱਤ੍ਰੀ,2ti,pan
ਤੀਤੁਸ,ਤੀਤੁਸ,ਤੀਤੁਸ ਨੂੰ,tit,pan
ਫਿਲੇਮੋਨ,ਫਿਲੇਮੋਨ,ਫਿਲੇਮੋਨ ਨੂੰ,phm,pan
ਇਬਰਾਨੀ,ਇਬਰਾਨੀ,ਇਬਰਾਨੀਆਂ ਨੂੰ,heb,pan
ਯਾਕੂਬ,ਯਾਕੂਬ,ਯਾਕੂਬ ਦੀ ਪੱਤ੍ਰੀ,jas,pan
1 ਪਤ,1 ਪਤਰਸ,ਪਤਰਸ ਦੀ ਪਹਿਲੀ ਪੱਤ੍ਰੀ,1pe,pan
2 ਪਤ,2 ਪਤਰਸ,ਪਤਰਸ ਦੀ ਦੂਜੀ ਪੱਤ੍ਰੀ,2pe,pan
1 ਯੂਹੰਨਾ,1 ਯੂਹੰਨਾ,ਯੂਹੰਨਾ ਦੀ ਪਹਿਲੀ ਪੱਤ੍ਰੀ,1jn,pan
2 ਯੂਹੰਨਾ,2 ਯੂਹੰਨਾ,ਯੂਹੰਨਾ ਦੀ ਦੂਜੀ ਪੱਤ੍ਰੀ,2jn,pan
3 ਯੂਹੰਨਾ,3 ਯੂਹੰਨਾ,ਯੂਹੰਨਾ ਦੀ ਤੀਸਰੀ ਪੱਤ੍ਰੀ,3jn,pan
ਯਹੂਦਾ,ਯਹੂਦਾ,ਯਹੂਦਾਹ ਦੀ ਪੱਤ੍ਰੀ,jud,pan
ਪਰਕਾਸ਼ ਦੀ ਪੋਥੀ,ਪਰਕਾਸ਼ ਦੀ ਪੋਥੀ,ਯੂਹੰਨਾ ਦੇ ਪਰਕਾਸ਼ ਦੀ ਪੋਥੀ,rev,pan
ஆதி,ஆதியாகமம்,ஆதியாகமம்,gen,tam
யாத்,யாத்திராகமம்,யாத்திராகமம்,exo,tam
லேவி,லேவியராகமம்,லேவியராகமம்,lev,tam
எண்,எண்ணாகமம்,எண்ணாகமம்,num,tam
உபா,உபாகமம்,உபாகமம்,deu,tam
யோசு,யோசுவா,யோசுவா,jos,tam
நியா,நியாயாதிபதிகள்,நியாயாதிபதிகள்,jdg,tam
ரூத்,ரூத்,ரூத்,rut,tam
1சாமு,1 சாமுவேல்,1 சாமுவேல்,1sa,tam
2சாமு,2 சாமுவேல்,2 சாமுவேல்,2sa,tam
1இராஜா,1 இராஜாக்கள்,1 இராஜாக்கள்,1ki,tam
2இராஜா,2 இராஜாக்கள்,2 இராஜாக்கள்,2ki,tam
